date,week,stems_ordered,customer_id,crop_id
8/15/2022,33,14300,220,2
8/15/2022,33,34340,270,2
8/15/2022,33,2000,69,1
8/15/2022,33,2500,103,1
8/16/2022,33,11240,270,1
8/16/2022,33,10000,161,2
8/16/2022,33,29904,270,2
8/16/2022,33,15090,267,2
8/16/2022,33,1720,69,1
8/16/2022,33,18480,39,2
8/16/2022,33,2200,70,1
8/17/2022,33,23650,220,2
8/17/2022,33,744,39,1
8/17/2022,33,24028,270,2
8/17/2022,33,14428,39,2
8/17/2022,33,2000,69,1
8/17/2022,33,20090,270,1
8/17/2022,33,12200,224,1
8/18/2022,33,8880,39,2
8/18/2022,33,2800,99,1
8/18/2022,33,25000,220,2
8/18/2022,33,38886,270,2
8/18/2022,33,2060,39,1
8/18/2022,33,16000,161,2
8/18/2022,33,27440,270,1
8/19/2022,33,2800,69,1
8/19/2022,33,22200,220,2
8/19/2022,33,40800,270,2
8/19/2022,33,8640,270,1
8/19/2022,33,600,39,1
8/19/2022,33,10083,39,2
8/19/2022,33,3240,160,2
8/20/2022,33,23250,270,1
8/20/2022,33,2000,103,1
8/20/2022,33,600,39,1
8/20/2022,33,1600,267,2
8/20/2022,33,18280,39,2
8/20/2022,33,23200,161,2
8/20/2022,33,24944,270,2
8/20/2022,33,2600,69,1
8/21/2022,33,8700,220,2
8/21/2022,33,13200,270,1
8/21/2022,33,1800,69,1
8/21/2022,33,26258,39,2
8/22/2022,34,15800,220,2
8/22/2022,34,2060,39,1
8/22/2022,34,3400,69,1
8/22/2022,34,3000,70,1
8/22/2022,34,7100,270,1
8/22/2022,34,43080,267,2
8/22/2022,34,17376,270,2
8/22/2022,34,13400,39,2
8/23/2022,34,13400,39,2
8/23/2022,34,2000,259,1
8/23/2022,34,11650,161,2
8/23/2022,34,4700,69,1
8/23/2022,34,2000,103,1
8/23/2022,34,25000,220,2
8/23/2022,34,24320,270,2
8/23/2022,34,14640,270,1
8/23/2022,34,1760,39,1
8/24/2022,34,31640,270,1
8/24/2022,34,16344,270,2
8/24/2022,34,37900,267,2
8/24/2022,34,14985,39,2
8/24/2022,34,101110,224,1
8/24/2022,34,15800,220,2
8/24/2022,34,558,39,1
8/24/2022,34,3200,69,1
8/25/2022,34,15640,270,1
8/25/2022,34,15000,220,2
8/25/2022,34,600,69,1
8/25/2022,34,23402,270,2
8/25/2022,34,10782,39,2
8/25/2022,34,24500,161,2
8/25/2022,34,1360,39,1
8/26/2022,34,43808,270,2
8/26/2022,34,2897,81,1
8/26/2022,34,32400,270,1
8/26/2022,34,15000,220,2
8/26/2022,34,11849,39,2
8/26/2022,34,1560,39,1
8/26/2022,34,3800,69,1
8/27/2022,34,16760,39,2
8/27/2022,34,1560,39,1
8/27/2022,34,2500,103,1
8/27/2022,34,37180,270,1
8/27/2022,34,5100,70,1
8/27/2022,34,36584,270,2
8/27/2022,34,20200,161,2
8/27/2022,34,2400,259,1
8/27/2022,34,25000,220,2
8/27/2022,34,3000,69,1
8/28/2022,34,21307,39,2
8/28/2022,34,300,99,1
8/28/2022,34,10940,270,1
8/28/2022,34,600,69,1
8/28/2022,34,960,39,1
8/28/2022,34,3104,81,1
8/28/2022,34,36428,270,2
8/29/2022,35,31200,160,2
8/29/2022,35,27800,270,2
8/29/2022,35,17456,39,2
8/29/2022,35,2000,103,1
8/29/2022,35,2748,39,1
8/29/2022,35,11649,220,2
8/29/2022,35,3900,69,1
8/29/2022,35,220,75,1
8/29/2022,35,43580,267,2
8/29/2022,35,1000,99,1
8/29/2022,35,24360,270,1
8/29/2022,35,8700,220,2
8/30/2022,35,20840,270,1
8/30/2022,35,22900,270,2
8/30/2022,35,1488,39,1
8/30/2022,35,1600,259,1
8/30/2022,35,16500,56,1
8/30/2022,35,14500,161,2
8/30/2022,35,600,69,1
8/30/2022,35,13496,39,2
8/30/2022,35,15549,220,2
8/31/2022,35,12682,39,2
8/31/2022,35,46600,270,1
8/31/2022,35,2700,69,1
8/31/2022,35,20140,267,2
8/31/2022,35,3000,224,1
8/31/2022,35,2604,81,1
9/1/2022,35,2640,270,1
9/1/2022,35,600,69,1
9/1/2022,35,17900,161,2
9/1/2022,35,2676,39,1
9/1/2022,35,42972,270,2
9/1/2022,35,21294,39,2
9/2/2022,35,9000,224,1
9/2/2022,35,8050,220,2
9/2/2022,35,4200,69,1
9/2/2022,35,51800,270,1
9/2/2022,35,3380,81,1
9/2/2022,35,38302,270,2
9/2/2022,35,2676,39,1
9/2/2022,35,23481,39,2
9/2/2022,35,10000,267,2
9/3/2022,35,16280,39,2
9/3/2022,35,30720,270,1
9/3/2022,35,3600,259,1
9/3/2022,35,20200,161,2
9/3/2022,35,2500,69,1
9/3/2022,35,32840,270,2
9/3/2022,35,1560,39,1
9/3/2022,35,5300,70,1
9/3/2022,35,17900,220,2
9/4/2022,35,2897,81,1
9/4/2022,35,31112,270,2
9/4/2022,35,7500,103,1
9/4/2022,35,1260,39,1
9/4/2022,35,300,99,1
9/4/2022,35,600,69,1
9/4/2022,35,12249,220,2
9/4/2022,35,12900,270,1
9/4/2022,35,23637,39,2
9/5/2022,36,6200,270,2
9/5/2022,36,4200,69,1
9/5/2022,36,29650,267,2
9/5/2022,36,1000,99,1
9/5/2022,36,38100,270,1
9/5/2022,36,21797,39,2
9/5/2022,36,1260,39,1
9/5/2022,36,11100,220,2
9/6/2022,36,15000,193,2
9/6/2022,36,21649,220,2
9/6/2022,36,42220,270,1
9/6/2022,36,22997,39,2
9/6/2022,36,29900,270,2
9/6/2022,36,2400,69,1
9/6/2022,36,2000,259,1
9/6/2022,36,1440,39,1
9/7/2022,36,29416,270,2
9/7/2022,36,30140,267,2
9/7/2022,36,6000,259,1
9/7/2022,36,15000,224,1
9/7/2022,36,2397,81,1
9/7/2022,36,19397,39,2
9/7/2022,36,66700,270,1
9/8/2022,36,16920,270,1
9/8/2022,36,1560,39,1
9/8/2022,36,19000,193,2
9/8/2022,36,1200,69,1
9/8/2022,36,24942,39,2
9/9/2022,36,2404,39,1
9/9/2022,36,27497,39,2
9/9/2022,36,35532,270,2
9/9/2022,36,42920,270,1
9/9/2022,36,14900,220,2
9/9/2022,36,4750,69,1
9/10/2022,36,27978,39,2
9/10/2022,36,21232,270,2
9/10/2022,36,4000,70,1
9/10/2022,36,3000,81,1
9/10/2022,36,8000,193,2
9/10/2022,36,40700,224,1
9/10/2022,36,1200,259,1
9/10/2022,36,1860,39,1
9/10/2022,36,42950,270,1
9/10/2022,36,13000,69,1
9/11/2022,36,23877,39,2
9/11/2022,36,34014,270,2
9/11/2022,36,8700,220,2
9/11/2022,36,11200,69,1
9/11/2022,36,1440,39,1
9/11/2022,36,17000,69,1
9/12/2022,37,14750,69,1
9/12/2022,37,46000,270,1
9/12/2022,37,15200,220,2
9/12/2022,37,20317,39,2
9/12/2022,37,40196,270,2
9/12/2022,37,3000,81,1
9/12/2022,37,1100,39,1
9/13/2022,37,900,69,1
9/13/2022,37,14000,270,1
9/13/2022,37,5700,103,1
9/14/2022,37,28930,267,2
9/14/2022,37,1110,39,1
9/14/2022,37,29400,224,1
9/14/2022,37,33600,220,2
9/14/2022,37,16977,39,2
9/14/2022,37,28600,270,1
9/14/2022,37,51372,270,2
9/14/2022,37,900,69,1
9/15/2022,37,34442,270,2
9/15/2022,37,22363,220,2
9/15/2022,37,35040,267,2
9/15/2022,37,16977,39,2
9/16/2022,37,1560,39,1
9/16/2022,37,600,69,1
9/16/2022,37,2500,267,2
9/16/2022,37,21457,39,2
9/16/2022,37,600,39,1
9/16/2022,37,15200,259,1
9/16/2022,37,35400,270,1
9/16/2022,37,12600,270,1
9/16/2022,37,3500,81,1
9/16/2022,37,900,69,1
9/16/2022,37,470,75,1
9/17/2022,37,28842,270,2
9/17/2022,37,27400,270,1
9/17/2022,37,18600,220,2
9/17/2022,37,15220,39,2
9/17/2022,37,20400,161,2
9/17/2022,37,107700,224,1
9/17/2022,37,8400,259,1
9/17/2022,37,4000,81,1
9/17/2022,37,900,69,1
9/17/2022,37,2550,70,1
9/17/2022,37,1560,39,1
9/17/2022,37,4120,267,2
9/18/2022,37,27100,270,2
9/18/2022,37,1260,39,1
9/18/2022,37,10000,220,2
9/18/2022,37,14060,270,1
9/18/2022,37,15220,39,2
9/18/2022,37,960,69,1
9/19/2022,38,10480,39,2
9/19/2022,38,300,39,1
9/19/2022,38,23300,270,1
9/19/2022,38,5700,69,1
9/19/2022,38,31850,267,2
9/19/2022,38,29998,270,2
9/19/2022,38,17000,259,1
9/19/2022,38,15800,220,2
9/19/2022,38,3500,81,1
9/20/2022,38,14116,39,2
9/20/2022,38,4000,259,1
9/20/2022,38,500,267,2
9/20/2022,38,10000,161,2
9/20/2022,38,12000,270,1
9/20/2022,38,9300,69,1
9/20/2022,38,21410,270,2
9/20/2022,38,17800,220,2
9/21/2022,38,4200,69,1
9/21/2022,38,161300,224,1
9/21/2022,38,640,39,1
9/21/2022,38,31750,267,2
9/21/2022,38,15250,39,2
9/21/2022,38,7100,220,2
9/21/2022,38,12000,259,1
9/21/2022,38,27310,270,2
9/21/2022,38,29100,270,1
9/22/2022,38,46468,270,2
9/22/2022,38,20200,224,1
9/22/2022,38,2320,39,1
9/22/2022,38,600,69,1
9/22/2022,38,500,267,2
9/22/2022,38,21296,39,2
9/22/2022,38,33200,270,1
9/22/2022,38,3000,81,1
9/22/2022,38,10000,161,2
9/22/2022,38,29563,220,2
9/23/2022,38,20430,267,2
9/23/2022,38,3500,103,1
9/23/2022,38,49300,270,1
9/23/2022,38,13000,259,1
9/23/2022,38,34138,270,2
9/23/2022,38,10200,161,2
9/23/2022,38,20716,39,2
9/23/2022,38,600,39,1
9/23/2022,38,3700,69,1
9/24/2022,38,29938,270,2
9/24/2022,38,20200,161,2
9/24/2022,38,1720,39,1
9/24/2022,38,4000,81,1
9/24/2022,38,3430,267,2
9/24/2022,38,3100,69,1
9/24/2022,38,23100,39,2
9/24/2022,38,28300,220,2
9/24/2022,38,27700,270,1
9/24/2022,38,5600,259,1
9/24/2022,38,3300,70,1
9/25/2022,38,12460,39,2
9/25/2022,38,36110,270,2
9/25/2022,38,20850,270,1
9/25/2022,38,10263,220,2
9/25/2022,38,5900,69,1
9/25/2022,38,1180,39,1
9/26/2022,39,183200,224,1
9/26/2022,39,23800,270,1
9/26/2022,39,7000,259,1
9/26/2022,39,2500,103,1
9/26/2022,39,41230,270,2
9/26/2022,39,3500,81,1
9/26/2022,39,45235,267,2
9/26/2022,39,8720,39,2
9/26/2022,39,18050,220,2
9/26/2022,39,1400,39,1
9/26/2022,39,500,69,1
9/27/2022,39,21649,161,2
9/27/2022,39,3000,259,1
9/27/2022,39,5455,267,2
9/27/2022,39,11460,39,2
9/27/2022,39,800,39,1
9/27/2022,39,8000,270,1
9/27/2022,39,4400,69,1
9/27/2022,39,15800,220,2
9/27/2022,39,37370,270,2
9/28/2022,39,7270,39,2
9/28/2022,39,35824,270,2
9/28/2022,39,27975,267,2
9/28/2022,39,2500,69,1
9/28/2022,39,35880,270,1
9/28/2022,39,800,39,1
9/28/2022,39,4000,259,1
9/28/2022,39,15800,220,2
9/28/2022,39,34000,224,1
9/29/2022,39,10000,161,2
9/29/2022,39,14600,270,1
9/29/2022,39,1000,99,1
9/29/2022,39,35214,270,2
9/29/2022,39,3000,81,1
9/29/2022,39,18496,39,2
9/29/2022,39,600,39,1
9/29/2022,39,20200,224,1
9/29/2022,39,3930,267,2
9/29/2022,39,4382,69,1
9/29/2022,39,12800,220,2
9/30/2022,39,1100,39,1
9/30/2022,39,25059,39,2
9/30/2022,39,52100,270,1
9/30/2022,39,40400,270,2
9/30/2022,39,13200,259,1
9/30/2022,39,28000,220,2
9/30/2022,39,1800,69,1
9/30/2022,39,51700,224,1
10/1/2022,39,10000,161,2
10/1/2022,39,6800,69,1
10/1/2022,39,2000,103,1
10/1/2022,39,30340,270,2
10/1/2022,39,4000,259,1
10/1/2022,39,28012,39,2
10/1/2022,39,10480,267,2
10/1/2022,39,18500,220,2
10/1/2022,39,25000,270,1
10/1/2022,39,1720,39,1
10/1/2022,39,4800,70,1
10/1/2022,39,4500,81,1
10/2/2022,39,600,69,1
10/2/2022,39,48000,270,2
10/2/2022,39,5860,267,2
10/2/2022,39,11742,220,2
10/2/2022,39,6000,259,1
10/2/2022,39,21812,39,2
10/2/2022,39,300,39,1
10/2/2022,39,7000,270,1
10/3/2022,40,9100,69,1
10/3/2022,40,4000,81,1
10/3/2022,40,2000,103,1
10/3/2022,40,42695,267,2
10/3/2022,40,19800,270,1
10/3/2022,40,1580,39,1
10/3/2022,40,20200,224,1
10/3/2022,40,35560,270,2
10/3/2022,40,15800,220,2
10/3/2022,40,4000,259,1
10/3/2022,40,28339,39,2
10/4/2022,40,2405,267,2
10/4/2022,40,10000,161,2
10/4/2022,40,4000,259,1
10/4/2022,40,8440,270,1
10/4/2022,40,21852,39,2
10/4/2022,40,31400,270,2
10/4/2022,40,10400,69,1
10/5/2022,40,9735,267,2
10/5/2022,40,11706,39,2
10/5/2022,40,29900,270,1
10/5/2022,40,20200,224,1
10/5/2022,40,24050,220,2
10/5/2022,40,2150,69,1
10/5/2022,40,29480,270,2
10/6/2022,40,49822,270,2
10/6/2022,40,2320,39,1
10/6/2022,40,1500,69,1
10/6/2022,40,3800,81,1
10/6/2022,40,8000,259,1
10/6/2022,40,27466,39,2
10/6/2022,40,28549,220,2
10/6/2022,40,500,99,1
10/6/2022,40,92000,224,1
10/6/2022,40,15504,161,2
10/6/2022,40,2000,267,2
10/6/2022,40,18700,270,1
10/7/2022,40,4000,259,1
10/7/2022,40,1860,39,1
10/7/2022,40,2715,267,2
10/7/2022,40,2500,69,1
10/7/2022,40,45800,270,1
10/7/2022,40,26522,270,2
10/7/2022,40,29406,39,2
10/8/2022,40,4620,267,2
10/8/2022,40,4500,81,1
10/8/2022,40,2700,70,1
10/8/2022,40,32338,39,2
10/8/2022,40,7120,69,1
10/8/2022,40,2500,39,1
10/8/2022,40,20856,270,2
10/8/2022,40,2000,103,1
10/8/2022,40,10000,161,2
10/8/2022,40,10000,220,2
10/8/2022,40,38300,270,1
10/9/2022,40,26405,39,2
10/9/2022,40,12249,220,2
10/9/2022,40,5500,270,1
10/9/2022,40,40748,270,2
10/9/2022,40,6000,259,1
10/9/2022,40,1810,267,2
10/9/2022,40,5200,69,1
10/9/2022,40,1860,39,1
10/10/2022,41,38340,267,2
10/10/2022,41,4300,69,1
10/10/2022,41,33752,270,2
10/10/2022,41,11000,224,1
10/10/2022,41,3500,81,1
10/10/2022,41,19800,270,1
10/10/2022,41,1500,103,1
10/10/2022,41,1700,39,1
10/10/2022,41,25929,39,2
10/10/2022,41,10950,220,2
10/10/2022,41,20400,259,1
10/11/2022,41,2310,267,2
10/11/2022,41,72600,224,1
10/11/2022,41,11000,270,1
10/11/2022,41,12000,259,1
10/11/2022,41,22032,39,2
10/11/2022,41,2500,69,1
10/11/2022,41,28052,270,2
10/11/2022,41,10598,161,2
10/12/2022,41,4500,69,1
10/12/2022,41,11000,224,1
10/12/2022,41,2000,259,1
10/12/2022,41,18885,267,2
10/12/2022,41,27200,270,2
10/12/2022,41,27980,270,1
10/12/2022,41,16120,39,2
10/12/2022,41,1200,39,1
10/12/2022,41,15800,220,2
10/13/2022,41,19958,270,2
10/13/2022,41,16640,39,2
10/13/2022,41,30400,161,2
10/13/2022,41,1700,39,1
10/13/2022,41,3500,81,1
10/13/2022,41,18000,259,1
10/13/2022,41,1290,69,1
10/13/2022,41,1000,99,1
10/13/2022,41,2310,267,2
10/13/2022,41,49240,270,1
10/14/2022,41,2900,69,1
10/14/2022,41,29900,220,2
10/14/2022,41,28364,270,2
10/14/2022,41,1200,39,1
10/14/2022,41,2500,103,1
10/14/2022,41,2620,267,2
10/14/2022,41,4000,259,1
10/14/2022,41,26290,39,2
10/14/2022,41,18440,270,1
10/15/2022,41,1440,39,1
10/15/2022,41,24824,270,2
10/15/2022,41,3525,267,2
10/15/2022,41,25518,39,2
10/15/2022,41,10600,69,1
10/15/2022,41,4500,81,1
10/15/2022,41,4000,70,1
10/15/2022,41,20200,161,2
10/15/2022,41,18700,270,1
10/15/2022,41,4000,259,1
10/15/2022,41,6300,220,2
10/16/2022,41,600,39,1
10/16/2022,41,6300,69,1
10/16/2022,41,38456,270,2
10/16/2022,41,15100,39,2
10/16/2022,41,6500,270,1
10/16/2022,41,11100,220,2
10/16/2022,41,1310,267,2
10/16/2022,41,3200,259,1
10/17/2022,42,4000,81,1
10/17/2022,42,15800,220,2
10/17/2022,42,29422,270,2
10/17/2022,42,1420,39,1
10/17/2022,42,38305,267,2
10/17/2022,42,22800,69,1
10/17/2022,42,11000,224,1
10/17/2022,42,3000,103,1
10/17/2022,42,3200,259,1
10/17/2022,42,21220,39,2
10/17/2022,42,26600,270,1
10/18/2022,42,10000,161,2
10/18/2022,42,10500,69,1
10/18/2022,42,15180,270,2
10/18/2022,42,2310,267,2
10/18/2022,42,25000,220,2
10/18/2022,42,5000,270,1
10/19/2022,42,26944,270,2
10/19/2022,42,600,39,1
10/19/2022,42,1000,99,1
10/19/2022,42,15800,220,2
10/19/2022,42,29560,270,1
10/19/2022,42,23472,39,2
10/19/2022,42,4000,259,1
10/19/2022,42,7700,69,1
